COMPLEX_CATEGORY,COMPLEX_NAME,FACILITY_TYPE,FACILITY_NAME,ADDRESS,TYP_OF_ORG,ORG,STEWARD,OPER,COMMUNITY,SECTOR,POPULATION,OCCUPIED_DWELLINGS,PERSONS_PER_UNIT,Area (km²),Population Density (people/km²)
Golf Courses,Shaganappi Point Golf Course,Golf Course - Municipal,18 Hole Course,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,"2,067",700,2.95,1.4,"2,700"
Golf Courses,Shaganappi Point Golf Course,Golf Course - Municipal,18 Hole Course,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,"1,655",752,2.2,1.4,"2,700"
Golf Courses,Shaganappi Point Golf Course,Golf Course - Municipal,18 Hole Course,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,"1,786",706,2.53,1.4,"2,700"
Golf Courses,Shaganappi Point Golf Course,Golf Course - Municipal,18 Hole Course,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,"1,863",708,2.63,1.4,"2,700"
Golf Courses,Shaganappi Point Golf Course,Golf Course - Municipal,18 Hole Course,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,"1,849",740,2.5,1.4,"2,700"
Golf Courses,Shaganappi Point Golf Course,Golf Course - Municipal,18 Hole Course,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,"1,666",781,2.13,1.4,"2,700"
Golf Courses,Shaganappi Point Golf Course,Golf Course - Municipal,18 Hole Course,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,"1,642",775,2.12,1.4,"2,700"
Golf Courses,Shaganappi Point Golf Course,Golf Course - Municipal,18 Hole Course,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,"1,827",774,2.36,1.4,"2,700"
Golf Courses,Shaganappi Point Golf Course,Golf Course - Municipal,18 Hole Course,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,"1,728",805,2.15,1.4,"2,700"
Golf Courses,Shaganappi Point Golf Course,Golf Course - Municipal,18 Hole Course,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,"1,693",719,2.35,1.4,"2,700"
Golf Courses,Shaganappi Point Golf Course,Golf Course - Municipal,18 Hole Course,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,"1,819",802,2.27,1.4,"2,700"
Golf Courses,Shaganappi Point Golf Course,Golf Course - Municipal,18 Hole Course,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,"1,459",683,2.14,1.4,"2,700"
Golf Courses,Shaganappi Point Golf Course,Golf Course - Municipal,18 Hole Course,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,"1,553",722,2.15,1.4,"2,700"
Golf Courses,Shaganappi Point Golf Course,Golf Course - Municipal,18 Hole Course,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,"1,595",789,2.02,1.4,"2,700"
Golf Courses,Shaganappi Point Golf Course,Golf Course - Municipal,18 Hole Course,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,"1,603",785,2.04,1.4,"2,700"
Golf Courses,Shaganappi Point Golf Course,Golf Course - Municipal,18 Hole Course,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,"1,831",805,2.27,1.4,"2,700"
Golf Courses,Shaganappi Point Golf Course,Golf Course - Municipal,18 Hole Course,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,"1,681",784,2.14,1.4,"2,700"
Golf Courses,Shaganappi Point Golf Course,Golf Course - Municipal,18 Hole Course,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,"1,596",770,2.07,1.4,"2,700"
Golf Courses,Shaganappi Point Golf Course,Golf Course - Municipal,18 Hole Course,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,"1,687",782,2.16,1.4,"2,700"
Golf Courses,Shaganappi Point Golf Course,Golf Course - Municipal,18 Hole Course,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,"1,714",804,2.13,1.4,"2,700"
Golf Courses,Shaganappi Point Golf Course,Golf Course - Municipal,18 Hole Course,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,"1,671",779,2.15,1.4,"2,700"
Golf Courses,Shaganappi Point Golf Course,Golf Course - Municipal,18 Hole Course,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,"1,685",784,2.15,1.4,"2,700"
Golf Courses,Shaganappi Point Golf Course,Golf Course - Municipal,18 Hole Course,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,"1,527",720,2.12,1.4,"2,700"
Golf Courses,Shaganappi Point Golf Course,Golf Course - Municipal,18 Hole Course,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,"1,830",788,2.32,1.4,"2,700"
