COMPLEX_NAME,FACILITY_TYPE,ADDRESS,TYP_OF_ORG,ORG,STEWARD,OPER,COMMUNITY,SECTOR,POPULATION,OCCUPIED_DWELLINGS,PERSONS_PER_UNIT,Area (km²),Population Density (people/km²)
Shaganappi Point Golf Course,Golf Course - Municipal,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,1640.0,771.0,2.13,1.4,2700.0
Shaganappi Point Golf Course,Golf Course - Municipal,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,1776.0,715.0,2.48,1.4,2700.0
Shaganappi Point Golf Course,Golf Course - Municipal,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,1603.0,719.0,2.23,1.4,2700.0
Shaganappi Point Golf Course,Golf Course - Municipal,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,1592.0,797.0,2.0,1.4,2700.0
Shaganappi Point Golf Course,Golf Course - Municipal,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,1657.0,811.0,2.04,1.4,2700.0
Shaganappi Point Golf Course,Golf Course - Municipal,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,1639.0,759.0,2.16,1.4,2700.0
Shaganappi Point Golf Course,Golf Course - Municipal,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,1794.0,790.0,2.27,1.4,2700.0
Shaganappi Point Golf Course,Golf Course - Municipal,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,1629.0,808.0,2.02,1.4,2700.0
Shaganappi Point Golf Course,Golf Course - Municipal,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,2008.0,705.0,2.85,1.4,2700.0
Shaganappi Point Golf Course,Golf Course - Municipal,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,1443.0,688.0,2.1,1.4,2700.0
Shaganappi Point Golf Course,Golf Course - Municipal,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,2107.0,700.0,3.01,1.4,2700.0
Brentwood Sportsplex,Arena,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,7858.0,2372.0,3.31,2.9,2506.0
Brentwood Sportsplex,Arena,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,6324.0,2517.0,2.51,2.9,2506.0
Brentwood Sportsplex,Arena,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,6449.0,2512.0,2.57,2.9,2506.0
Brentwood Sportsplex,Arena,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,6889.0,2407.0,2.86,2.9,2506.0
Brentwood Sportsplex,Arena,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,6438.0,2485.0,2.59,2.9,2506.0
Brentwood Sportsplex,Arena,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,6322.0,2484.0,2.55,2.9,2506.0
Brentwood Sportsplex,Arena,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,9044.0,2217.0,4.08,2.9,2506.0
Brentwood Sportsplex,Arena,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,8986.0,2060.0,4.36,2.9,2506.0
Brentwood Sportsplex,Arena,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,7650.0,2508.0,3.05,2.9,2506.0
Brentwood Sportsplex,Arena,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,6700.0,2509.0,2.67,2.9,2506.0
Brentwood Sportsplex,Arena,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,6265.0,2453.0,2.55,2.9,2506.0
Brentwood Sportsplex,Arena,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,8244.0,2216.0,3.72,2.9,2506.0
Brentwood Sportsplex,Arena,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,6568.0,2502.0,2.63,2.9,2506.0
Brentwood Sportsplex,Arena,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,6059.0,2503.0,2.42,2.9,2506.0
Brentwood Sportsplex,Arena,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,6776.0,2495.0,2.72,2.9,2506.0
Brentwood Sportsplex,Arena,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,7239.0,2449.0,2.96,2.9,2506.0
Brentwood Sportsplex,Arena,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,7132.0,3105.0,2.3,2.9,2506.0
